"invoiceID","branch","city","cust_type","gender","type","unit_price","quantity","date","time","payment","cost","gross income","rating"
"130-67-4723","A","Cairo","Member","Male","Food and beverages","48.50","6","1/11/2019","13:57","eWallet","291.00","14.5500","9.4"
"130-98-8941","C","Alexandria","Normal","Male","Fashion accessories","64.26","7","2/9/2019","10:00","Cash","449.82","22.4910","5.7"
"131-15-8856","C","Alexandria","Member","Female","Food and beverages","72.52","8","3/30/2019","19:26","Credit card","580.16","29.0080","4.0"
"131-70-8179","A","Cairo","Member","Female","Health and beauty","92.09","3","2/17/2019","16:27","Cash","276.27","13.8135","4.2"
"132-23-6451","A","Cairo","Member","Male","Health and beauty","20.97","5","1/4/2019","13:21","Cash","104.85","5.2425","7.8"
"132-32-9879","B","Ismailia","Member","Female","Electronic accessories","93.96","4","3/9/2019","18:00","Cash","375.84","18.7920","9.5"
"133-14-7229","C","Alexandria","Normal","Male","Health and beauty","62.87","2","1/1/2019","11:43","Cash","125.74","6.2870","5.0"
"133-77-3154","B","Ismailia","Member","Male","Fashion accessories","60.18","4","2/16/2019","18:04","Credit card","240.72","12.0360","9.4"
"134-54-4720","B","Ismailia","Normal","Female","Electronic accessories","42.42","8","1/30/2019","13:58","eWallet","339.36","16.9680","5.7"
"134-75-2619","A","Cairo","Member","Male","Electronic accessories","19.32","7","3/25/2019","18:51","Cash","135.24","6.7620","6.9"
"135-13-8269","B","Ismailia","Member","Female","Food and beverages","78.88","2","1/26/2019","16:04","Cash","157.76","7.8880","9.1"
"135-84-8019","A","Cairo","Normal","Female","Fashion accessories","77.93","9","2/27/2019","16:10","eWallet","701.37","35.0685","7.6"
"136-08-6195","A","Cairo","Normal","Female","Home and lifestyle","69.96","8","2/15/2019","17:01","Credit card","559.68","27.9840","6.4"
"137-63-5492","C","Alexandria","Normal","Male","Electronic accessories","58.76","10","1/29/2019","14:26","eWallet","587.60","29.3800","9.0"
"137-74-8729","C","Alexandria","Normal","Female","Fashion accessories","12.19","8","3/13/2019","12:47","eWallet","97.52","4.8760","6.8"
"138-17-5109","A","Cairo","Member","Female","Home and lifestyle","89.21","9","1/15/2019","15:42","Credit card","802.89","40.1445","6.5"
"139-20-0155","B","Ismailia","Member","Male","Electronic accessories","40.30","10","1/24/2019","17:37","Credit card","403.00","20.1500","7.0"
"139-32-4183","A","Cairo","Member","Female","Sports and travel","97.48","9","3/14/2019","14:19","eWallet","877.32","43.8660","7.4"
"139-52-2867","C","Alexandria","Normal","Female","Fashion accessories","22.51","7","2/13/2019","10:50","Credit card","157.57","7.8785","4.8"
"142-63-6033","B","Ismailia","Normal","Male","Home and lifestyle","92.36","5","3/20/2019","19:17","eWallet","461.80","23.0900","4.9"
"142-72-4741","C","Alexandria","Member","Male","Fashion accessories","93.20","2","2/28/2019","18:37","Credit card","186.40","9.3200","6.0"
"144-51-6085","A","Cairo","Member","Male","Home and lifestyle","70.74","4","1/5/2019","16:05","Credit card","282.96","14.1480","4.4"
"145-94-9061","B","Ismailia","Normal","Female","Food and beverages","88.36","5","1/25/2019","19:48","Cash","441.80","22.0900","9.6"
"146-09-5432","A","Cairo","Member","Male","Food and beverages","35.04","9","2/9/2019","19:17","eWallet","315.36","15.7680","4.6"
"148-41-7930","C","Alexandria","Normal","Male","Health and beauty","99.96","7","1/23/2019","10:33","Cash","699.72","34.9860","6.1"
"148-82-2527","C","Alexandria","Member","Female","Home and lifestyle","12.12","10","3/5/2019","13:44","Credit card","121.20","6.0600","8.4"
"149-14-0304","C","Alexandria","Member","Female","Health and beauty","28.50","8","2/6/2019","14:24","Cash","228.00","11.4000","6.6"
"149-15-7606","B","Ismailia","Member","Male","Sports and travel","37.32","9","3/6/2019","15:31","eWallet","335.88","16.7940","5.1"
"149-61-1929","A","Cairo","Normal","Male","Sports and travel","64.19","10","1/19/2019","14:08","Credit card","641.90","32.0950","6.7"
"149-71-6266","B","Ismailia","Member","Male","Sports and travel","78.07","9","1/28/2019","12:43","Cash","702.63","35.1315","4.5"
"150-89-8043","A","Cairo","Normal","Male","Sports and travel","44.65","3","2/14/2019","15:04","Cash","133.95","6.6975","6.2"
"151-16-1484","A","Cairo","Member","Male","Electronic accessories","32.25","4","2/13/2019","12:38","eWallet","129.00","6.4500","6.5"
"151-27-8496","C","Alexandria","Normal","Female","Electronic accessories","56.13","4","1/19/2019","11:43","eWallet","224.52","11.2260","8.6"
"151-33-7434","B","Ismailia","Normal","Female","Food and beverages","67.77","1","2/4/2019","20:43","Credit card","67.77","3.3885","6.5"
"152-03-4217","B","Ismailia","Normal","Female","Home and lifestyle","11.28","9","3/17/2019","11:55","Credit card","101.52","5.0760","4.3"
"152-08-9985","B","Ismailia","Member","Male","Health and beauty","64.36","9","3/12/2019","12:09","Credit card","579.24","28.9620","8.6"
"152-68-2907","A","Cairo","Normal","Male","Food and beverages","52.20","3","2/15/2019","13:30","Credit card","156.60","7.8300","9.5"
"153-58-4872","C","Alexandria","Member","Female","Food and beverages","74.89","4","3/1/2019","15:32","eWallet","299.56","14.9780","4.2"
"154-74-7179","B","Ismailia","Normal","Male","Sports and travel","54.45","1","2/26/2019","19:24","eWallet","54.45","2.7225","7.9"
"154-87-7367","C","Alexandria","Normal","Male","Home and lifestyle","65.26","8","3/15/2019","14:04","eWallet","522.08","26.1040","6.3"
"155-45-3814","C","Alexandria","Member","Female","Electronic accessories","88.55","8","3/19/2019","15:29","eWallet","708.40","35.4200","4.7"
"156-20-0370","B","Ismailia","Normal","Female","Electronic accessories","25.45","1","3/10/2019","18:10","Credit card","25.45","1.2725","5.1"
"156-95-3964","A","Cairo","Normal","Female","Food and beverages","55.39","4","3/25/2019","15:19","eWallet","221.56","11.0780","8.0"
"157-13-5295","A","Cairo","Member","Male","Health and beauty","51.94","10","3/9/2019","18:24","eWallet","519.40","25.9700","6.5"
"160-22-2687","A","Cairo","Member","Female","Health and beauty","95.95","5","1/23/2019","14:21","eWallet","479.75","23.9875","8.8"
"162-48-8011","A","Cairo","Member","Female","Food and beverages","44.59","5","2/10/2019","15:10","Cash","222.95","11.1475","8.5"
"162-65-8559","C","Alexandria","Member","Male","Food and beverages","68.98","1","1/21/2019","20:13","Cash","68.98","3.4490","4.8"
"163-56-7055","C","Alexandria","Member","Male","Fashion accessories","48.71","1","3/26/2019","19:20","Cash","48.71","2.4355","4.1"
"166-19-2553","A","Cairo","Member","Male","Sports and travel","89.06","6","1/18/2019","17:26","Cash","534.36","26.7180","9.9"
"169-52-4504","A","Cairo","Normal","Female","Electronic accessories","15.69","3","3/14/2019","14:13","Credit card","47.07","2.3535","5.8"
"172-42-8274","B","Ismailia","Normal","Female","Electronic accessories","38.27","2","3/2/2019","18:18","Credit card","76.54","3.8270","5.8"
"173-50-1108","B","Ismailia","Member","Female","Sports and travel","20.18","4","2/13/2019","12:14","Credit card","80.72","4.0360","5.0"
"173-57-2300","C","Alexandria","Member","Male","Sports and travel","72.88","2","3/13/2019","12:51","Cash","145.76","7.2880","6.1"
"173-82-9529","B","Ismailia","Normal","Female","Fashion accessories","37.95","10","1/26/2019","14:51","Cash","379.50","18.9750","9.7"
"174-36-3675","C","Alexandria","Member","Male","Food and beverages","99.37","2","2/14/2019","17:29","Cash","198.74","9.9370","5.2"
"174-64-0215","B","Ismailia","Normal","Male","Sports and travel","69.74","10","3/5/2019","17:49","Credit card","697.40","34.8700","8.9"
"174-75-0888","B","Ismailia","Normal","Male","Electronic accessories","21.58","9","3/14/2019","12:32","Cash","194.22","9.7110","7.3"
"175-54-2529","A","Cairo","Member","Male","Food and beverages","22.17","8","3/3/2019","17:01","Credit card","177.36","8.8680","9.6"
"176-64-7711","B","Ismailia","Normal","Male","Food and beverages","32.32","3","3/27/2019","19:11","Credit card","96.96","4.8480","4.3"
"176-78-1170","C","Alexandria","Member","Male","Health and beauty","33.81","3","1/26/2019","15:11","eWallet","101.43","5.0715","7.3"
"181-82-6255","B","Ismailia","Normal","Female","Home and lifestyle","16.37","6","2/8/2019","10:58","Cash","98.22","4.9110","7.0"
"181-94-6432","C","Alexandria","Member","Male","Fashion accessories","69.33","2","2/5/2019","19:05","eWallet","138.66","6.9330","9.7"
"182-52-7000","A","Cairo","Member","Female","Sports and travel","27.04","4","1/1/2019","20:26","eWallet","108.16","5.4080","6.9"
"182-69-8360","B","Ismailia","Normal","Female","Electronic accessories","23.65","4","1/30/2019","13:32","Credit card","94.60","4.7300","4.0"
"182-88-2763","B","Ismailia","Member","Male","Food and beverages","79.91","3","3/20/2019","19:28","Credit card","239.73","11.9865","5.0"
"183-21-3799","C","Alexandria","Normal","Female","Electronic accessories","77.63","9","2/19/2019","15:14","eWallet","698.67","34.9335","7.2"
"183-56-6882","C","Alexandria","Member","Female","Food and beverages","99.42","4","2/6/2019","10:42","eWallet","397.68","19.8840","7.5"
"186-09-3669","C","Alexandria","Member","Female","Health and beauty","81.51","1","1/22/2019","10:57","eWallet","81.51","4.0755","9.2"
"186-43-8965","A","Cairo","Member","Female","Home and lifestyle","47.68","2","2/24/2019","10:10","Credit card","95.36","4.7680","4.1"
"186-71-5196","A","Cairo","Member","Female","Food and beverages","79.54","2","3/27/2019","16:30","eWallet","159.08","7.9540","6.2"
"186-79-9562","B","Ismailia","Normal","Male","Health and beauty","71.77","7","3/29/2019","14:06","Cash","502.39","25.1195","8.9"
"187-83-5490","A","Cairo","Member","Male","Electronic accessories","20.77","4","1/31/2019","13:47","Cash","83.08","4.1540","4.7"
"188-55-0967","B","Ismailia","Member","Male","Health and beauty","66.47","10","1/15/2019","15:01","Credit card","664.70","33.2350","5.0"
"189-08-9157","C","Alexandria","Normal","Female","Fashion accessories","31.73","9","1/8/2019","16:17","Credit card","285.57","14.2785","5.9"
"189-17-4241","A","Cairo","Normal","Female","Fashion accessories","87.67","2","3/10/2019","12:17","Credit card","175.34","8.7670","7.7"
"189-40-5216","C","Alexandria","Normal","Male","Electronic accessories","96.37","7","1/9/2019","11:40","Cash","674.59","33.7295","6.0"
"189-52-0236","A","Cairo","Normal","Male","Electronic accessories","99.55","7","3/14/2019","12:07","Cash","696.85","34.8425","7.6"
"189-55-2313","C","Alexandria","Normal","Female","Fashion accessories","62.18","10","1/31/2019","10:33","eWallet","621.80","31.0900","6.0"
"189-98-2939","C","Alexandria","Normal","Male","Fashion accessories","78.55","9","3/1/2019","13:22","Cash","706.95","35.3475","7.2"
"190-14-3147","B","Ismailia","Normal","Female","Health and beauty","17.97","4","2/23/2019","20:43","eWallet","71.88","3.5940","6.4"
"190-59-3964","B","Ismailia","Member","Male","Food and beverages","47.16","5","2/3/2019","14:35","Credit card","235.80","11.7900","6.0"
"191-10-6171","B","Ismailia","Normal","Female","Fashion accessories","39.62","7","1/25/2019","13:18","Cash","277.34","13.8670","7.5"
"191-29-0321","B","Ismailia","Member","Female","Fashion accessories","19.77","10","2/27/2019","18:57","Credit card","197.70","9.8850","5.0"
"192-98-7397","C","Alexandria","Normal","Male","Fashion accessories","12.78","1","1/8/2019","14:11","eWallet","12.78","0.6390","9.5"
"195-06-0432","A","Cairo","Member","Male","Home and lifestyle","81.01","3","1/13/2019","12:55","Credit card","243.03","12.1515","9.3"
"196-01-2849","C","Alexandria","Member","Female","Fashion accessories","73.38","7","2/10/2019","13:56","Cash","513.66","25.6830","9.5"
"197-77-7132","B","Ismailia","Member","Male","Electronic accessories","91.56","8","1/12/2019","18:22","eWallet","732.48","36.6240","6.0"
"198-66-9832","B","Ismailia","Member","Female","Fashion accessories","72.04","2","2/4/2019","19:38","Cash","144.08","7.2040","9.5"
"198-84-7132","B","Ismailia","Member","Male","Fashion accessories","40.61","9","1/2/2019","13:40","Cash","365.49","18.2745","7.0"
"199-75-8169","A","Cairo","Member","Male","Sports and travel","15.81","10","3/6/2019","12:27","Credit card","158.10","7.9050","8.6"
"200-16-5952","C","Alexandria","Member","Male","Food and beverages","65.65","2","1/17/2019","16:46","Cash","131.30","6.5650","6.0"
"200-40-6154","B","Ismailia","Member","Male","Home and lifestyle","65.91","6","2/9/2019","11:45","Cash","395.46","19.7730","5.7"
"201-63-8275","C","Alexandria","Member","Female","Sports and travel","67.99","7","2/17/2019","16:50","eWallet","475.93","23.7965","5.7"
"201-86-2184","B","Ismailia","Member","Female","Electronic accessories","26.26","7","2/2/2019","19:40","Cash","183.82","9.1910","9.9"
"207-73-1363","B","Ismailia","Normal","Male","Health and beauty","69.51","2","3/1/2019","12:15","eWallet","139.02","6.9510","8.1"
"209-61-0206","A","Cairo","Normal","Female","Home and lifestyle","42.91","5","1/5/2019","17:29","eWallet","214.55","10.7275","6.1"
"210-30-7976","B","Ismailia","Member","Female","Fashion accessories","22.32","4","3/14/2019","11:16","eWallet","89.28","4.4640","4.1"
"210-57-1719","B","Ismailia","Normal","Female","Health and beauty","58.24","9","2/5/2019","12:34","Cash","524.16","26.2080","9.7"
"210-67-5886","C","Alexandria","Member","Female","Health and beauty","98.21","3","2/5/2019","10:41","Credit card","294.63","14.7315","7.8"
"210-74-9613","C","Alexandria","Normal","Male","Fashion accessories","97.26","4","3/16/2019","15:33","eWallet","389.04","19.4520","6.8"
"211-05-0490","C","Alexandria","Member","Female","Electronic accessories","51.92","5","3/3/2019","13:42","Cash","259.60","12.9800","7.5"
"211-30-9270","C","Alexandria","Normal","Male","Health and beauty","17.41","5","1/28/2019","15:16","Credit card","87.05","4.3525","4.9"
"212-62-1842","A","Cairo","Normal","Male","Food and beverages","58.26","6","3/28/2019","16:44","Cash","349.56","17.4780","9.9"
"213-32-1216","A","Cairo","Normal","Female","Electronic accessories","66.06","6","1/23/2019","10:28","Cash","396.36","19.8180","7.3"
"213-72-6612","A","Cairo","Normal","Male","Food and beverages","43.25","2","3/20/2019","15:56","Cash","86.50","4.3250","6.2"
"214-17-6927","C","Alexandria","Normal","Female","Food and beverages","16.48","6","2/7/2019","18:23","eWallet","98.88","4.9440","9.9"
"214-30-2776","B","Ismailia","Member","Female","Electronic accessories","34.49","5","3/11/2019","19:44","Credit card","172.45","8.6225","9.0"
"217-58-1179","A","Cairo","Member","Male","Home and lifestyle","62.65","4","1/5/2019","11:25","Cash","250.60","12.5300","4.2"
"218-59-9410","A","Cairo","Member","Female","Home and lifestyle","72.42","3","3/29/2019","16:54","eWallet","217.26","10.8630","8.2"
"219-22-9386","B","Ismailia","Member","Male","Sports and travel","99.96","9","3/9/2019","17:26","Credit card","899.64","44.9820","4.2"
"219-61-4139","C","Alexandria","Normal","Male","Electronic accessories","83.08","1","1/23/2019","17:16","eWallet","83.08","4.1540","6.4"
"220-28-1851","A","Cairo","Normal","Male","Home and lifestyle","34.73","2","3/1/2019","18:14","eWallet","69.46","3.4730","9.7"
"220-68-6701","A","Cairo","Normal","Female","Home and lifestyle","77.47","4","3/17/2019","16:36","Cash","309.88","15.4940","4.2"
"221-25-5073","A","Cairo","Normal","Female","Food and beverages","74.66","4","3/4/2019","10:39","Cash","298.64","14.9320","8.5"
"222-42-0244","B","Ismailia","Member","Female","Health and beauty","72.11","9","1/28/2019","13:53","Credit card","648.99","32.4495","7.7"
"225-32-0908","C","Alexandria","Normal","Female","Sports and travel","44.86","10","1/26/2019","19:54","eWallet","448.60","22.4300","8.2"
"225-98-1496","C","Alexandria","Normal","Female","Fashion accessories","27.02","3","3/2/2019","13:01","Credit card","81.06","4.0530","7.1"
"226-31-3081","C","Alexandria","Normal","Female","Electronic accessories","15.28","5","3/8/2019","10:29","Cash","76.40","3.8200","9.6"
"226-34-0034","B","Ismailia","Normal","Female","Electronic accessories","13.78","4","1/10/2019","11:10","eWallet","55.12","2.7560","9.0"
"226-71-3580","C","Alexandria","Normal","Female","Sports and travel","23.75","9","1/31/2019","12:02","Cash","213.75","10.6875","9.5"
"227-03-5010","A","Cairo","Member","Female","Home and lifestyle","52.59","8","3/22/2019","19:20","Credit card","420.72","21.0360","8.5"
"227-07-4446","C","Alexandria","Member","Female","Electronic accessories","78.13","10","2/10/2019","20:51","Cash","781.30","39.0650","4.4"
"227-50-3718","A","Cairo","Normal","Male","Health and beauty","14.62","5","3/4/2019","12:23","Cash","73.10","3.6550","4.4"
"227-78-1148","B","Ismailia","Normal","Female","Fashion accessories","72.84","7","2/15/2019","12:44","Cash","509.88","25.4940","8.4"
"228-96-1411","C","Alexandria","Member","Female","Food and beverages","98.70","8","3/4/2019","20:39","Cash","789.60","39.4800","7.6"
"232-11-3025","A","Cairo","Normal","Male","Sports and travel","78.77","10","1/24/2019","10:04","Cash","787.70","39.3850","6.4"
"232-16-2483","C","Alexandria","Member","Female","Sports and travel","68.12","1","1/7/2019","12:28","eWallet","68.12","3.4060","6.8"
"233-34-0817","C","Alexandria","Member","Female","Electronic accessories","98.84","1","2/15/2019","11:21","Cash","98.84","4.9420","8.4"
"233-67-5758","C","Alexandria","Normal","Male","Health and beauty","40.35","1","1/29/2019","13:46","eWallet","40.35","2.0175","6.2"
"234-03-4040","B","Ismailia","Member","Female","Food and beverages","73.05","10","3/3/2019","12:25","Credit card","730.50","36.5250","8.7"
"234-36-2483","B","Ismailia","Normal","Male","Health and beauty","57.59","6","2/15/2019","13:51","Cash","345.54","17.2770","5.1"
"234-65-2137","C","Alexandria","Normal","Male","Home and lifestyle","95.58","10","1/16/2019","13:32","Cash","955.80","47.7900","4.8"
"235-06-8510","C","Alexandria","Member","Male","Home and lifestyle","85.72","3","1/24/2019","20:59","eWallet","257.16","12.8580","5.1"
"235-46-8343","C","Alexandria","Member","Male","Food and beverages","27.66","10","2/14/2019","11:26","Credit card","276.60","13.8300","8.9"
"236-27-1144","C","Alexandria","Normal","Female","Food and beverages","16.31","9","3/26/2019","10:31","eWallet","146.79","7.3395","8.4"
"236-86-3015","C","Alexandria","Member","Male","Home and lifestyle","13.98","1","2/4/2019","13:38","eWallet","13.98","0.6990","9.8"
"237-01-6122","C","Alexandria","Member","Female","Home and lifestyle","80.79","9","2/1/2019","20:31","Credit card","727.11","36.3555","9.5"
"237-44-6163","A","Cairo","Normal","Male","Electronic accessories","10.56","8","1/24/2019","17:43","Cash","84.48","4.2240","7.6"
"238-45-6950","B","Ismailia","Member","Male","Food and beverages","53.72","1","3/1/2019","20:03","eWallet","53.72","2.6860","6.4"
"238-49-0436","A","Cairo","Normal","Male","Health and beauty","32.46","8","3/27/2019","13:48","Credit card","259.68","12.9840","4.9"
"239-10-7476","A","Cairo","Normal","Female","Home and lifestyle","77.95","6","1/21/2019","16:37","eWallet","467.70","23.3850","8.0"
"239-36-3640","B","Ismailia","Normal","Male","Electronic accessories","45.35","6","1/31/2019","13:44","eWallet","272.10","13.6050","6.1"
"239-48-4278","A","Cairo","Member","Male","Food and beverages","10.13","7","3/10/2019","19:35","eWallet","70.91","3.5455","8.3"
"241-11-2261","B","Ismailia","Normal","Female","Fashion accessories","79.86","7","1/10/2019","10:33","Credit card","559.02","27.9510","5.5"
"241-72-9525","B","Ismailia","Normal","Male","Sports and travel","51.91","10","2/16/2019","12:21","Cash","519.10","25.9550","8.2"
"241-96-5076","B","Ismailia","Member","Female","Home and lifestyle","49.10","2","1/8/2019","12:58","Credit card","98.20","4.9100","6.4"
"242-11-3142","B","Ismailia","Member","Male","Fashion accessories","83.77","2","2/24/2019","19:57","Cash","167.54","8.3770","4.6"
"242-55-6721","B","Ismailia","Normal","Male","Home and lifestyle","16.16","2","3/7/2019","11:49","eWallet","32.32","1.6160","6.5"
"243-47-2663","C","Alexandria","Member","Male","Electronic accessories","18.77","6","1/28/2019","16:43","Credit card","112.62","5.6310","5.5"
"243-55-8457","A","Cairo","Normal","Female","Food and beverages","74.44","10","2/27/2019","11:40","eWallet","744.40","37.2200","5.1"
"244-08-0162","B","Ismailia","Normal","Female","Health and beauty","34.21","10","1/2/2019","13:00","Cash","342.10","17.1050","5.1"
"246-11-3901","C","Alexandria","Normal","Female","Electronic accessories","32.80","10","2/15/2019","12:12","Cash","328.00","16.4000","6.2"
"246-55-6923","C","Alexandria","Member","Female","Home and lifestyle","35.79","9","3/10/2019","15:06","Credit card","322.11","16.1055","5.1"
"247-11-2470","A","Cairo","Member","Female","Fashion accessories","22.32","4","3/1/2019","16:23","Credit card","89.28","4.4640","4.4"
"249-42-3782","A","Cairo","Normal","Male","Health and beauty","70.01","5","1/3/2019","11:36","eWallet","350.05","17.5025","5.5"
"250-17-5703","A","Cairo","Member","Male","Food and beverages","18.85","10","2/27/2019","18:24","eWallet","188.50","9.4250","5.6"
"250-81-7186","C","Alexandria","Normal","Female","Electronic accessories","99.69","1","2/27/2019","10:23","Credit card","99.69","4.9845","8.0"
"252-56-2699","A","Cairo","Normal","Male","Food and beverages","43.19","10","2/7/2019","16:48","eWallet","431.90","21.5950","8.2"
"253-12-6086","A","Cairo","Member","Female","Sports and travel","98.40","7","3/12/2019","12:43","Credit card","688.80","34.4400","8.7"
"254-31-0042","A","Cairo","Member","Male","Electronic accessories","21.50","9","3/6/2019","12:46","Credit card","193.50","9.6750","7.8"
"256-08-8343","A","Cairo","Normal","Female","Home and lifestyle","56.53","4","3/4/2019","19:48","eWallet","226.12","11.3060","5.5"
"256-58-3609","C","Alexandria","Member","Male","Fashion accessories","91.98","1","3/18/2019","15:29","Cash","91.98","4.5990","9.8"
"257-60-7754","A","Cairo","Normal","Female","Electronic accessories","50.23","4","1/8/2019","17:12","Cash","200.92","10.0460","9.0"
"257-73-1380","C","Alexandria","Member","Male","Sports and travel","82.93","4","1/20/2019","16:51","eWallet","331.72","16.5860","9.6"
"258-69-7810","C","Alexandria","Normal","Female","Fashion accessories","36.85","5","1/26/2019","18:53","Cash","184.25","9.2125","9.2"
"258-92-7466","A","Cairo","Normal","Female","Health and beauty","35.68","5","2/6/2019","18:33","Credit card","178.40","8.9200","6.6"
"261-12-8671","B","Ismailia","Normal","Female","Fashion accessories","60.96","2","1/25/2019","19:39","Credit card","121.92","6.0960","4.9"
"262-47-2794","B","Ismailia","Member","Male","Home and lifestyle","71.86","8","3/6/2019","15:07","Credit card","574.88","28.7440","6.2"
"263-10-3913","C","Alexandria","Member","Male","Fashion accessories","49.04","9","1/9/2019","14:20","Credit card","441.36","22.0680","8.6"
"263-12-5321","A","Cairo","Member","Male","Electronic accessories","92.60","7","2/27/2019","12:52","Credit card","648.20","32.4100","9.3"
"263-87-5680","C","Alexandria","Member","Female","Home and lifestyle","28.53","10","3/18/2019","17:38","eWallet","285.30","14.2650","7.8"
"266-20-6657","C","Alexandria","Member","Male","Food and beverages","55.04","7","3/12/2019","19:39","eWallet","385.28","19.2640","5.2"
"266-76-6436","C","Alexandria","Member","Female","Food and beverages","38.60","3","3/28/2019","13:57","eWallet","115.80","5.7900","7.5"
"267-62-7380","C","Alexandria","Member","Male","Electronic accessories","82.34","10","3/29/2019","19:12","eWallet","823.40","41.1700","4.3"
"268-03-6164","B","Ismailia","Normal","Male","Health and beauty","96.11","1","1/25/2019","16:28","eWallet","96.11","4.8055","7.8"
"268-20-3585","C","Alexandria","Normal","Female","Health and beauty","13.85","9","2/4/2019","12:50","eWallet","124.65","6.2325","6.0"
"268-27-6179","B","Ismailia","Member","Female","Fashion accessories","56.47","8","3/9/2019","14:57","eWallet","451.76","22.5880","7.3"
"269-04-5750","B","Ismailia","Member","Male","Fashion accessories","73.82","4","2/21/2019","18:31","Cash","295.28","14.7640","6.7"
"269-10-8440","A","Cairo","Member","Male","Health and beauty","53.17","7","1/21/2019","18:01","Cash","372.19","18.6095","8.9"
"271-77-8740","C","Alexandria","Member","Female","Sports and travel","29.22","6","1/1/2019","11:40","eWallet","175.32","8.7660","5.0"
"271-88-8734","C","Alexandria","Member","Female","Fashion accessories","97.21","10","2/8/2019","13:00","Credit card","972.10","48.6050","8.7"
"272-27-9238","C","Alexandria","Normal","Female","Food and beverages","41.24","4","2/19/2019","16:23","Cash","164.96","8.2480","7.1"
"272-65-1806","A","Cairo","Normal","Female","Electronic accessories","60.88","9","1/15/2019","17:17","eWallet","547.92","27.3960","4.7"
"273-16-6619","B","Ismailia","Normal","Male","Home and lifestyle","33.20","2","3/15/2019","12:20","Credit card","66.40","3.3200","4.4"
"273-84-2164","C","Alexandria","Member","Male","Electronic accessories","12.05","5","2/16/2019","15:53","eWallet","60.25","3.0125","5.5"
"274-05-5470","A","Cairo","Member","Female","Food and beverages","73.47","4","2/23/2019","18:30","Cash","293.88","14.6940","6.0"
"275-28-0149","A","Cairo","Normal","Male","Sports and travel","63.69","1","2/25/2019","16:21","Cash","63.69","3.1845","6.0"
